                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.91753,                0.76136,                0.95755,                0.96716,                0.88523,                0.95449,                0.60058,                0.96519,                 0.6817,                 0.9451,                0.00307,                0.00307,                0.00307
                     72,                0.90843,                0.75713,                0.94119,                0.95184,                0.90221,                 0.9699,                0.62933,                0.94757,                0.71549,                0.95209,               0.002971,               0.002971,               0.002971
                     73,                0.87159,                0.75045,                0.93425,                 0.9496,                0.90277,                0.96382,                0.59601,                 0.9783,                0.69801,                0.95122,               0.002872,               0.002872,               0.002872
                     74,                0.90177,                0.74694,                0.92938,                0.95082,                0.90483,                 0.9383,                0.59803,                0.94631,                0.69163,                0.94325,               0.002773,               0.002773,               0.002773
                     75,                0.88603,                0.72663,                0.93034,                0.94352,                 0.9132,                 0.9379,                0.60555,                0.94355,                 0.7074,                 0.9411,               0.002674,               0.002674,               0.002674
                     76,                0.91339,                0.73414,                0.94144,                0.92526,                0.91803,                0.93983,                0.62308,                 0.9285,                0.67864,                0.93808,               0.002575,               0.002575,               0.002575
                     77,                0.86986,                0.72104,                0.92671,                0.94462,                 0.9132,                0.94482,                0.61418,                0.95961,                0.68752,                0.94366,               0.002476,               0.002476,               0.002476
                     78,                0.87538,                0.72579,                0.93658,                0.95949,                 0.9221,                0.94578,                0.62771,                0.94436,                0.64244,                0.92843,               0.002377,               0.002377,               0.002377
                     79,                 0.8808,                 0.7417,                0.93894,                0.93741,                0.92307,                0.94037,                0.61253,                0.94661,                0.66212,                0.92665,               0.002278,               0.002278,               0.002278
                     80,                0.86361,                0.70814,                0.92015,                0.94519,                0.91768,                0.95742,                0.62563,                0.92801,                0.66865,                0.92667,               0.002179,               0.002179,               0.002179
                     81,                0.84351,                0.68657,                 0.9249,                0.93976,                0.92316,                0.94102,                0.64248,                0.92708,                0.65543,                0.92097,                0.00208,                0.00208,                0.00208
                     82,                 0.8293,                0.69002,                0.90952,                0.94913,                0.91535,                0.94157,                0.62856,                0.93162,                0.64308,                0.91822,               0.001981,               0.001981,               0.001981
                     83,                0.86489,                0.73249,                0.94039,                0.94166,                0.91899,                0.95218,                0.62505,                0.91994,                0.64494,                0.91908,               0.001882,               0.001882,               0.001882
                     84,                0.81214,                0.68987,                0.91888,                0.94697,                0.90913,                0.95652,                 0.6365,                0.91893,                0.64905,                0.91961,               0.001783,               0.001783,               0.001783
                     85,                0.84414,                  0.697,                0.91653,                0.89912,                0.97765,                0.96389,                0.63603,                0.93782,                0.63814,                 0.9295,               0.001684,               0.001684,               0.001684
                     86,                0.81749,                0.65265,                0.91136,                0.94542,                 0.9111,                0.96371,                0.63217,                0.91737,                0.62917,                0.92299,               0.001585,               0.001585,               0.001585
                     87,                 0.8185,                0.66581,                0.92837,                0.96019,                0.90097,                0.96571,                0.64377,                0.92009,                0.62698,                0.92266,               0.001486,               0.001486,               0.001486
                     88,                0.84718,                0.67834,                0.92693,                0.91578,                0.95063,                0.97054,                0.65957,                0.90734,                 0.6324,                0.92293,               0.001387,               0.001387,               0.001387
                     89,                 0.8394,                 0.6644,                0.92131,                0.96227,                 0.9108,                0.97198,                0.64695,                0.91842,                0.62025,                0.92489,               0.001288,               0.001288,               0.001288
                     90,                0.77404,                0.61901,                0.87482,                0.95607,                0.91071,                0.96698,                0.63458,                0.93912,                0.61771,                0.92968,               0.001189,               0.001189,               0.001189
                     91,                0.76062,                0.60255,                0.87558,                0.95593,                0.90839,                0.97029,                  0.644,                0.92609,                0.61724,                0.92735,                0.00109,                0.00109,                0.00109
                     92,                0.77171,                0.59033,                0.87033,                0.95091,                 0.9228,                0.96985,                0.65021,                0.92831,                0.60952,                0.92457,               0.000991,               0.000991,               0.000991
                     93,                0.72749,                0.58791,                0.87135,                0.95654,                0.91226,                0.96915,                0.63162,                0.93262,                0.61306,                0.92758,               0.000892,               0.000892,               0.000892
                     94,                0.72965,                0.58489,                0.85903,                0.95368,                0.91709,                0.96671,                0.64134,                0.91715,                0.60899,                0.92282,               0.000793,               0.000793,               0.000793
                     95,                0.72593,                0.57831,                0.85887,                0.94476,                0.92379,                0.96411,                 0.6432,                0.91132,                0.60596,                0.92017,               0.000694,               0.000694,               0.000694
                     96,                0.72354,                0.57162,                0.87741,                0.96003,                0.91621,                0.96567,                0.63995,                0.90351,                0.60027,                0.91795,               0.000595,               0.000595,               0.000595
                     97,                0.74093,                0.56357,                 0.8667,                0.94729,                 0.9424,                0.96535,                0.63893,                0.90358,                0.60116,                0.91738,               0.000496,               0.000496,               0.000496
                     98,                0.73162,                0.55874,                0.86977,                0.93606,                0.95088,                0.96496,                0.63878,                0.89825,                0.60278,                0.91679,               0.000397,               0.000397,               0.000397
                     99,                0.68331,                  0.553,                0.85555,                0.93874,                0.95222,                0.96504,                0.63984,                0.89433,                0.59859,                0.91505,               0.000298,               0.000298,               0.000298
